Role,FirstName,LastName,MiddleInitial,Gender,Username,Password,eMail,License,Rating,Joined,Visits,Location
USER,Allen,Brittentine,F,F,abritten,*34{TR$3ns8tk,abritten@home.com,161d336f-1987-4fd1-a3ca-5b7436f75dce,1.9904995,11/10/2006,348,FP-3455
USER,Andreanne,Rougley,V,M,arougley,br!%yF6iGFDk7,arougley@gmail.com,2cfc4e44-ab10-48a4-b49e-e978cd2708e1,2.5775228,5/4/2012,547,RQ-9424
USER,Stanford,Zheng,L,F,szheng,FGtp57,szheng@home.com,6a0df29c-ea65-4273-9c45-fd6fe9e7c0a9,2.3778257,6/3/2013,146,FO-2006
HOLDER,Lontravious,Rowan,B,F,lrowan,DmEzBaj$NdH77j,lrowan@yahoo.com,e0b1b3b7-10f2-4032-be80-e55b62e744db,2.5415916,11/18/2012,191,ZD-4623
USER,Glennie,Spikes,M,M,gspikes,sir88A9m!K,gspikes@yahoo.com,c7e8c798-10dd-44f4-8076-22108386ba54,1.7423525,5/24/2012,294,LL-3955
USER,Josianne,Smith,J,F,jsmith,HTJ4q3f,jsmith@home.com,6f8219ca-0a38-42c3-904e-7ca15311995b,0.019376576,9/19/2014,18,DG-6032
USER,Isai,Metcalf,N,F,imetcalf,3Y=BK9o8!j,imetcalf@hotmail.com,4d05d100-38eb-4076-aa49-14fc98200f36,4.2460527,8/2/2014,933,CD-3935
USER,Ebony,Hyatt,H,M,ehyatt,JkaA+=73,ehyatt@gmail.com,04bff63e-f4d9-4be5-9f6e-3c0c98f890bf,2.949719,7/22/2014,867,FP-3455
USER,Suyoung,Durano,H,M,sdurano,gCiRb{m38,sdurano@hotmail.com,fde163a5-9300-4543-b715-5decedf8ca53,3.6866083,3/27/2007,698,RQ-9424
USER,Cheri,Graves,P,F,cgraves,?GGYd$s33,cgraves@yahoo.com,bdb4a53f-ffa5-4521-b7e6-5a7d76164355,0.94934016,7/3/2007,84,WL-9568
USER,Jalyah,Edmiston,V,F,jedmisto,a+n85S4N,jedmisto@home.com,4c197518-9120-4e8a-a597-09e32dbbbe2d,4.1789618,1/26/2014,17,FO-2006
USER,Za`Kabreon,Liddle,R,F,zliddle,87DJbt,zliddle@hotmail.com,d7938562-31ae-4ddb-a178-49d2939e318d,1.5194511,4/24/2010,174,ZD-4623
USER,Idella,Bayer,N,M,ibayer,2pfWH_g5,ibayer@home.com,b991a13b-fd8d-4df7-b6a7-f6aad98d4f38,1.8755287,7/7/2008,83,LL-3955
USER,Conor,Shen,O,M,cshen,r!ipiD&6N9437,cshen@gmail.com,548c2b87-8a2f-46f3-8d72-4fc5d3d1e52f,4.2489824,1/18/2013,284,CD-3935
USER,Maddalyn,Egan,D,M,megan,xLpBoWj82,megan@yahoo.com,9738900b-394f-440e-ab21-1d772ba3c763,1.0475347,10/21/2011,57,FP-3455
USER,Cynai,Minion,L,M,cminion,#NAME?,cminion@gmail.com,9e1c67e2-39f6-48c3-b730-3fd67f1a1a2d,0.70173115,2/23/2007,297,RQ-9424
USER,Bertrand,Studivant,D,F,bstudiva,RoFyypt%y2ws7!,bstudiva@hotmail.com,cdf45a75-bf2c-4c27-805d-d9dcb6e3ab0a,4.4736233,7/29/2013,982,
ADMIN,Rollin,Grant,G,M,rgrant,ici!gnXT33,rgrant@yahoo.com,282f8e89-774c-4818-b8a1-d9984b62aaf7,2.6181726,1/7/2007,408,FO-2006
USER,Beth,Carbine,N,M,bcarbine,jPiBb!CF23,bcarbine@yahoo.com,b1b365c9-51fa-4554-bab1-c11c8832f506,3.2072692,5/24/2009,325,ZD-4623
USER,Keneisha,Thibodeaux,F,F,kthibode,%mJY2qL7,kthibode@home.com,9f14b00c-fea1-4e74-a417-9049f4670f32,3.980534,2/7/2008,676,LL-3955
USER,Nekierstin,Simo,E,F,nsimo,?x?p74mJGWK{,nsimo@gmail.com,63075636-3fec-497f-806d-d962106f20e2,1.6484237,8/17/2011,302,DG-6032
